Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num
20081,AIRR,4020,010,,,"MEZARINA, ALBERTO",14,6,1,3.8330078125,1.3291015625,3.8330078125,1.3291015625,4-6,4.3330078125,4,4.5,3.8330078125,4.5,4.8330078125,"NATNL SECURITY FORCES 2",,,,,,,BD,XX,,UD,AIRR,OTH,1
20081,AIRR,4020,020,,,"MEZARINA, ALBERTO",16,15,1,4.3994140625,1.12109375,4.3994140625,1.29833984375,4-6,4.7998046875,4.4658203125,4.7998046875,3.73291015625,4.19921875,4.7138671875,"NATNL SECURITY FORCES 2",,,,,,,BD,XX,,UD,AIRR,OTH,1
20081,ANTH,1100,010,,,"MCGILVRAY, DENNIS",126,92,0.9781494140625,4.533203125,1.123779296875,5.0107421875,1.071044921875,4-6,2.85546875,4.6220703125,4.8193359375,3.921875,4.677734375,5.732421875,"EXPLR NONWEST CULT/TAMIL",,,,,,,BD,AS,SS,LD,ANTH,TTT,1
20081,ANTH,1100,011,,,"BOURIE, WILLIAM",23,14,1,3.42822265625,1.5546875,4.8564453125,1.167236328125,0-3,2.5712890625,3.7138671875,4.5712890625,3.7138671875,3.5712890625,5.927734375,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1100,012,,,"BOURIE, WILLIAM",21,18,1,3.61083984375,1.19482421875,4,1.4140625,4-6,3.11083984375,3.8330078125,4.5,3.66650390625,4,4.8818359375,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1100,013,,,"MORENO-CONTRO, R",19,15,1,3.93310546875,1.22265625,4.533203125,1.302001953125,4-6,2.66650390625,4.666015625,4.3994140625,4.1328125,4.1328125,5.599609375,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1100,014,,,"BOURIE, WILLIAM",18,15,1,4.4658203125,0.9154052734375,4.732421875,1.03271484375,4-6,2.66650390625,4.533203125,5.3994140625,4.1328125,4.9326171875,5.927734375,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1100,015,,,"MORENO-CONTRO, R",22,11,1,5,0.6324462890625,5,1.18310546875,4-6,3.63623046875,4.6357421875,5.36328125,4.6357421875,5,6,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1100,016,,,"MORENO-CONTRO, R",23,14,1,4.0712890625,0.61572265625,4.3564453125,1.081787109375,4-6,3.142578125,3.92822265625,4.23046875,3.78564453125,4.28515625,5.5712890625,REC,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1100,785,,,"LAWRENCE, PATRICIA",23,20,1,4.8994140625,0.7879638671875,5.19921875,1.005126953125,4-6,3.14990234375,5.0517578125,4.69921875,3.849609375,5.25,6,"EXPLR NONWEST CULT/TAMIL",,,,,,,BD,AS,SS,LD,BRAP,OTH,1
20081,ANTH,1110,001,,,"FORGASH, REBECCA",107,76,0.98681640625,4.2666015625,1.417236328125,4.5458984375,1.45458984375,4-6,4.1728515625,4.296875,4.892578125,3.9462890625,4.458984375,5.83984375,"EXPLR NONWEST CULT/JAPAN",,,,,,,BD,AS,SS,LD,ANTH,OTH,1
20081,ANTH,1140,880,,,"SHEETS, PAYSON",13,13,1,5.5380859375,0.7762451171875,5.7685546875,0.59912109375,4-6,4.7685546875,5.9228515625,5.845703125,4.076171875,5.615234375,5.69140625,"NONWESTRN CULT/MAYA-HONR",,,,,,,BD,AS,SS,LD,ANTH,TTT,1
20081,ANTH,1150,706,,,"DELUCA, LAURA",14,14,1,4.78515625,0.974853515625,4.5712890625,1.08935546875,4-6,5.2138671875,4.8564453125,5.28515625,3.28564453125,4.7138671875,5.7138671875,"REGIONAL CULTURES AFRICA",,,,,,,BD,AS,SS,LD,ANTH,OTH,1
20081,ANTH,1160,001,,,"AYAD, BOULOS",85,57,1,4.2099609375,1.6767578125,4.5078125,1.69140625,4-6,4.2451171875,4.2275390625,3.64794921875,3.05224609375,4.0693359375,5.4736328125,"ANCIENT EGYPTIAN CIV",,,,,,,BD,AS,SS,LD,ANTH,TTT,1
20081,ANTH,1190,010,,,"JOYCE, ARTHUR",205,131,0.984619140625,4.5107421875,1.231689453125,4.70703125,1.14404296875,4-6,3.69189453125,4.41015625,4.771484375,4.123046875,4.7587890625,5.8134765625,"ORIGINS ANCIENT CIV",,,,,,,BD,AS,SS,LD,ANTH,TTT,1
20081,ANTH,1190,011,,,"JENNINGS, SARAH",20,16,1,4.6875,0.9464111328125,5.0625,0.9285888671875,4-6,3.8125,4.625,5.25,3.9375,4.5625,5.8125,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1190,012,,,"FORDE, JAMIE",21,13,1,4.615234375,1.043701171875,5.5380859375,0.7762451171875,4-6,4,5,5.615234375,4.5380859375,4.3076171875,5.9228515625,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1190,013,,,"FORDE, JAMIE",20,16,1,4.5625,0.8138427734375,5.4375,0.629150390625,4-6,3.625,4.875,5.6875,3.75,4.5,6,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1190,014,,,"TODD, BRENDA",21,18,1,4.5,1.04296875,4.9443359375,0.80224609375,4-6,3.72216796875,4.2216796875,5.0546875,4.0546875,4.3330078125,5.9443359375,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
